Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,17
design__inferred_latch__count,0
design__instance__count,13416
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,52
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0016876183217391372
power__switching__total,0.0010770400986075401
power__leakage__total,7.586294969996743E-8
power__total,0.0027647344395518303
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27095268462482064
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2843510229983816
timing__hold__ws__corner:nom_tt_025C_1v80,0.3251932704051504
timing__setup__ws__corner:nom_tt_025C_1v80,8.822851143846162
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.325193
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.149841
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,982
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2832429648773165
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3034484693854327
timing__hold__ws__corner:nom_ss_100C_1v60,0.8939089721455027
timing__setup__ws__corner:nom_ss_100C_1v60,-1.3207959544360017
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-6.630925329838943
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.3207959544360017
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.893909
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,16
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.320796
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,16
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,19
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2667522667146579
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2745656280048881
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10577466979468311
timing__setup__ws__corner:nom_ff_n40C_1v95,10.56662343088012
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105775
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.752625
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1155
design__max_fanout_violation__count,14
design__max_cap_violation__count,3
clock__skew__worst_hold,-0.2639358806217116
clock__skew__worst_setup,0.27301206512701676
timing__hold__ws,0.1041723403690759
timing__setup__ws,-1.5573054397932142
timing__hold__tns,0.0
timing__setup__tns,-10.349557948036898
timing__hold__wns,0
timing__setup__wns,-1.5573054397932142
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104172
timing__hold_r2r_vio__count,0
timing__setup_vio__count,45
timing__setup_r2r__ws,-1.557305
timing__setup_r2r_vio__count,45
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5588
design__instance__area__stdcell,47762.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.658201
design__instance__utilization__stdcell,0.658201
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,4
design__instance__area__class:buffer,20.0192
design__instance__count__class:inverter,148
design__instance__area__class:inverter,555.533
design__instance__count__class:sequential_cell,354
design__instance__area__class:sequential_cell,7532.22
design__instance__count__class:multi_input_combinational_cell,3565
design__instance__area__class:multi_input_combinational_cell,33573.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,7828
design__instance__area__class:fill_cell,24802.5
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,843.624
design__instance__displacement__mean,0.146
design__instance__displacement__max,17.78
route__wirelength__estimated,110720
design__violations,0
design__instance__count__class:timing_repair_buffer,416
design__instance__area__class:timing_repair_buffer,3911.25
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,50
design__instance__area__class:clock_buffer,713.184
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,153.898
design__instance__count__setup_buffer,4
design__instance__count__hold_buffer,107
global_route__vias,11112
global_route__wirelength,188694
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,4546
route__net__special,2
route__drc_errors__iter:0,2356
route__wirelength__iter:0,127241
route__drc_errors__iter:1,1211
route__wirelength__iter:1,125869
route__drc_errors__iter:2,1147
route__wirelength__iter:2,125642
route__drc_errors__iter:3,48
route__wirelength__iter:3,125274
route__drc_errors__iter:4,0
route__wirelength__iter:4,125301
route__drc_errors,0
route__wirelength,125301
route__vias,33773
route__vias__singlecut,33773
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,489.11
timing__unannotated_net__count__corner:nom_tt_025C_1v80,40
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,40
