Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,598
design__inferred_latch__count,0
design__instance__count,6240
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,17
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0011263429187238216
power__switching__total,0.0003220713697373867
power__leakage__total,3.8260388635080744E-8
power__total,0.0014484525891020894
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26629041392335173
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2669333996062483
timing__hold__ws__corner:nom_tt_025C_1v80,0.31012832069103835
timing__setup__ws__corner:nom_tt_025C_1v80,12.301686240084182
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.310128
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.660847
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,144
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,17
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27555178363440175
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2752178285391496
timing__hold__ws__corner:nom_ss_100C_1v60,0.8538201498601286
timing__setup__ws__corner:nom_ss_100C_1v60,8.978263719942237
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.853820
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.992638
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,17
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26199912425605343
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26260142026394667
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10828305225631187
timing__setup__ws__corner:nom_ff_n40C_1v95,13.548329064340646
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108283
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.607817
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,188
design__max_fanout_violation__count,17
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26117761470574813
clock__skew__worst_setup,0.2612019008350987
timing__hold__ws,0.10687601106625934
timing__setup__ws,8.901702737998795
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106876
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.913207
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2356
design__instance__area__stdcell,21635.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.631602
design__instance__utilization__stdcell,0.631602
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,7
design__instance__area__class:buffer,35.0336
design__instance__count__class:inverter,59
design__instance__area__class:inverter,221.462
design__instance__count__class:sequential_cell,351
design__instance__area__class:sequential_cell,7465.91
design__instance__count__class:multi_input_combinational_cell,1190
design__instance__area__class:multi_input_combinational_cell,10201
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3884
design__instance__area__class:fill_cell,12619.6
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1072.77
design__instance__displacement__mean,0.426
design__instance__displacement__max,9.16
route__wirelength__estimated,32253.9
design__violations,0
design__instance__count__class:timing_repair_buffer,235
design__instance__area__class:timing_repair_buffer,2337.24
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,52
design__instance__area__class:clock_buffer,721.942
design__instance__count__class:clock_inverter,6
design__instance__area__class:clock_inverter,82.5792
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,172
global_route__vias,12359
global_route__wirelength,60030
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1899
route__net__special,2
route__drc_errors__iter:0,372
route__wirelength__iter:0,35859
route__drc_errors__iter:1,73
route__wirelength__iter:1,35613
route__drc_errors__iter:2,59
route__wirelength__iter:2,35530
route__drc_errors__iter:3,0
route__wirelength__iter:3,35528
route__drc_errors,0
route__wirelength,35528
route__vias,12604
route__vias__singlecut,12604
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,273.88
timing__unannotated_net__count__corner:nom_tt_025C_1v80,49
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,49
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,49
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
