Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,559
design__inferred_latch__count,0
design__instance__count,79020
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,13
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008079857216216624
power__switching__total,0.0003179159830324352
power__leakage__total,3.3223594186893024E-7
power__total,0.0011262339539825916
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3060053685946097
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3177938835369353
timing__hold__ws__corner:nom_tt_025C_1v80,0.31050451977357224
timing__setup__ws__corner:nom_tt_025C_1v80,2.362137219350877
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.310505
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,2.362137
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,330
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.33736012160939266
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.35595913335544155
timing__hold__ws__corner:nom_ss_100C_1v60,0.8436802606448465
timing__setup__ws__corner:nom_ss_100C_1v60,-13.826534974968355
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-196.07404610467694
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-13.826534974968355
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.843680
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,15
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-13.826535
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,15
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,6
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2892396126698211
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2980682174336328
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10810985745957206
timing__setup__ws__corner:nom_ff_n40C_1v95,8.951324379532416
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108110
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.951324
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,462
design__max_fanout_violation__count,13
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2851196304200673
clock__skew__worst_setup,0.2931006353917572
timing__hold__ws,0.10728984671039243
timing__setup__ws,-14.130183645326365
timing__hold__tns,0.0
timing__setup__tns,-200.41719606727906
timing__hold__wns,0
timing__setup__wns,-14.130183645326365
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107290
timing__hold_r2r_vio__count,0
timing__setup_vio__count,45
timing__setup_r2r__ws,-14.130183
timing__setup_r2r_vio__count,45
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,13482
design__instance__area__stdcell,71055.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.234957
design__instance__utilization__stdcell,0.234957
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,5571
design__instance__area__class:buffer,27870.5
design__instance__count__class:inverter,131
design__instance__area__class:inverter,491.722
design__instance__count__class:sequential_cell,226
design__instance__area__class:sequential_cell,5938.2
design__instance__count__class:multi_input_combinational_cell,1887
design__instance__area__class:multi_input_combinational_cell,19129.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,65538
design__instance__area__class:fill_cell,231364
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1161.8
design__instance__displacement__mean,0.085
design__instance__displacement__max,12.705
route__wirelength__estimated,128534
design__violations,0
design__instance__count__class:timing_repair_buffer,1220
design__instance__area__class:timing_repair_buffer,11482.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,37
design__instance__area__class:clock_buffer,528.006
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,101.347
design__instance__count__setup_buffer,122
design__instance__count__hold_buffer,169
flow__warnings__count:RSZ-0062,1
global_route__vias,74
global_route__wirelength,222987
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
route__net,9081
route__net__special,2
route__drc_errors__iter:0,16
route__wirelength__iter:0,148005
route__drc_errors__iter:1,3
route__wirelength__iter:1,147992
route__drc_errors__iter:2,4
route__wirelength__iter:2,147991
route__drc_errors__iter:3,2
route__wirelength__iter:3,147984
route__drc_errors,0
route__wirelength,147977
route__vias,32526
route__vias__singlecut,32526
route__vias__multicut,0
route__drc_errors__iter:4,2
route__wirelength__iter:4,147984
route__drc_errors__iter:5,0
route__wirelength__iter:5,147977
design__instance__count__class:antenna_cell,4
design__instance__area__class:antenna_cell,10.0096
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,765.21
timing__unannotated_net__count__corner:nom_tt_025C_1v80,5588
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
