Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2055
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00026745168725028634
power__switching__total,0.00008628221257822588
power__leakage__total,2.1985826492709748E-8
power__total,0.00035375586594454944
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26706868028562486
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2633826287173182
timing__hold__ws__corner:nom_tt_025C_1v80,0.4773658825568304
timing__setup__ws__corner:nom_tt_025C_1v80,22.684621045898954
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.477366
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,33.534157
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,261
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2744986815546098
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2687110887635546
timing__hold__ws__corner:nom_ss_100C_1v60,1.1444039373394548
timing__setup__ws__corner:nom_ss_100C_1v60,21.639441073745566
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.144404
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,27.373821
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2636594073251851
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26079289466125927
timing__hold__ws__corner:nom_ff_n40C_1v95,0.21723623514924006
timing__setup__ws__corner:nom_ff_n40C_1v95,23.07387590748245
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.217236
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,35.746532
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,271
design__max_fanout_violation__count,10
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2617411084178333
clock__skew__worst_setup,0.25926300729005763
timing__hold__ws,0.21405644529448056
timing__setup__ws,21.624928237957217
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.214056
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,27.194933
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1431
design__instance__area__stdcell,14858
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.90085
design__instance__utilization__stdcell,0.90085
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,12
design__instance__area__class:inverter,45.0432
design__instance__count__class:sequential_cell,160
design__instance__area__class:sequential_cell,4093.93
design__instance__count__class:multi_input_combinational_cell,606
design__instance__area__class:multi_input_combinational_cell,6125.88
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,624
design__instance__area__class:fill_cell,1635.32
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7868.7
design__instance__displacement__mean,5.214
design__instance__displacement__max,126.54
route__wirelength__estimated,29543.5
design__violations,0
design__instance__count__class:timing_repair_buffer,394
design__instance__area__class:timing_repair_buffer,3866.21
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,18
design__instance__area__class:clock_buffer,258.998
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,176.419
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,298
global_route__vias,8327
global_route__wirelength,51287
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1210
route__net__special,2
route__drc_errors__iter:0,442
route__wirelength__iter:0,32758
route__drc_errors__iter:1,148
route__wirelength__iter:1,32474
route__drc_errors__iter:2,155
route__wirelength__iter:2,32451
route__drc_errors__iter:3,8
route__wirelength__iter:3,32410
route__drc_errors__iter:4,0
route__wirelength__iter:4,32410
route__drc_errors,0
route__wirelength,32410
route__vias,8129
route__vias__singlecut,8129
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,343.675
timing__unannotated_net__count__corner:nom_tt_025C_1v80,46
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,46
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,46
