Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,851
design__inferred_latch__count,0
design__instance__count,184352
design__instance__area,694446
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003357216250151396
power__switching__total,0.0019531575962901115
power__leakage__total,7.207488579297205E-7
power__total,0.00531109469011426
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.31004968914309544
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.31582518050284003
timing__hold__ws__corner:nom_tt_025C_1v80,0.3076412545120853
timing__setup__ws__corner:nom_tt_025C_1v80,0.8729355263495344
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.307641
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,0.872936
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,423
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.35480827613556665
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3625722880109566
timing__hold__ws__corner:nom_ss_100C_1v60,0.8728222835978199
timing__setup__ws__corner:nom_ss_100C_1v60,-15.927149827599013
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-406.3595441823812
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-15.927149827599013
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.872822
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,30
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-15.927150
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,30
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.29214884116582746
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29887967946528105
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1051964656271056
timing__setup__ws__corner:nom_ff_n40C_1v95,8.213577606090418
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105196
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.213577
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,519
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2907179301800704
clock__skew__worst_setup,0.29435668624619044
timing__hold__ws,0.1041772808616752
timing__setup__ws,-16.153521644187055
timing__hold__tns,0.0
timing__setup__tns,-413.15298662769635
timing__hold__wns,0
timing__setup__wns,-16.153521644187055
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104177
timing__hold_r2r_vio__count,0
timing__setup_vio__count,90
timing__setup_r2r__ws,-16.153522
timing__setup_r2r_vio__count,90
design__die__bbox,0.0 0.0 1378.16 511.36
design__core__bbox,2.76 2.72 1375.4 508.64
design__io,45
design__die__area,704736
design__core__area,694446
design__instance__count__stdcell,22704
design__instance__area__stdcell,117554
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.169277
design__instance__utilization__stdcell,0.169277
design__rows,186
design__rows:unithd,186
design__sites,555024
design__sites:unithd,555024
design__instance__count__class:buffer,5614
design__instance__area__class:buffer,28035.6
design__instance__count__class:inverter,226
design__instance__area__class:inverter,855.821
design__instance__count__class:sequential_cell,492
design__instance__area__class:sequential_cell,12927.4
design__instance__count__class:multi_input_combinational_cell,4484
design__instance__area__class:multi_input_combinational_cell,45600
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,161648
design__instance__area__class:fill_cell,576892
design__instance__count__class:tap_cell,9964
design__instance__area__class:tap_cell,12467
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3443.33
design__instance__displacement__mean,0.149
design__instance__displacement__max,8.7
route__wirelength__estimated,178212
design__violations,0
design__instance__count__class:timing_repair_buffer,1823
design__instance__area__class:timing_repair_buffer,16390.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,87
design__instance__area__class:clock_buffer,1121.08
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,156.4
design__instance__count__setup_buffer,381
design__instance__count__hold_buffer,294
flow__warnings__count:RSZ-0062,1
global_route__vias,53428
global_route__wirelength,319125
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,12720
route__net__special,2
route__drc_errors__iter:0,2264
route__wirelength__iter:0,201640
route__drc_errors__iter:1,609
route__wirelength__iter:1,199965
route__drc_errors__iter:2,496
route__wirelength__iter:2,199650
route__drc_errors__iter:3,27
route__wirelength__iter:3,199638
route__drc_errors__iter:4,0
route__wirelength__iter:4,199620
route__drc_errors,0
route__wirelength,199620
route__vias,57064
route__vias__singlecut,57064
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,614.995
timing__unannotated_net__count__corner:nom_tt_025C_1v80,5607
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,5607
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
